,ch-free,chi-inuse,imp(%),osg-inuse
2021-07-16 16:42:57.446158+00:00,273,1,0.0,0
2021-07-16 16:42:57.518110+00:00,273,1,0.0,0
2021-07-16 16:42:57.586266+00:00,273,1,0.0,0
2021-07-16 16:42:57.661219+00:00,273,1,0.0,0
2021-07-16 16:42:57.733096+00:00,273,1,0.0,0
2021-07-16 16:42:57.806369+00:00,273,1,0.0,0
2021-07-16 16:42:57.875752+00:00,273,1,0.0,0
2021-07-16 16:42:57.941356+00:00,273,1,0.0,0
2021-07-16 16:42:58.005309+00:00,273,1,0.0,0
2021-07-16 16:42:58.078133+00:00,273,1,0.0,0
2021-07-16 16:42:58.151531+00:00,273,1,0.0,0
2021-07-16 16:42:58.215664+00:00,272,2,0.0,0
2021-07-16 16:42:58.250026+00:00,272,2,0.0,0
2021-07-16 16:42:58.305758+00:00,273,1,0.0,0
2021-07-16 16:42:58.374549+00:00,273,1,0.0,0
2021-07-16 16:42:58.439346+00:00,273,1,0.0,0
2021-07-16 16:42:58.507932+00:00,273,1,0.0,0
2021-07-16 16:42:58.582277+00:00,273,1,0.0,0
2021-07-16 16:42:58.655026+00:00,273,1,0.0,0
2021-07-16 16:42:58.716971+00:00,273,1,0.0,0
2021-07-16 16:42:58.785583+00:00,273,1,0.0,0
2021-07-16 16:42:58.863856+00:00,273,1,0.0,0
2021-07-16 16:42:58.938468+00:00,273,1,0.0,0
2021-07-16 16:42:59.005782+00:00,273,1,0.0,0
2021-07-16 16:42:59.074009+00:00,273,1,0.0,0
2021-07-16 16:42:59.150560+00:00,273,1,0.0,0
2021-07-16 16:42:59.221149+00:00,273,1,0.0,0
2021-07-16 16:42:59.291437+00:00,273,1,0.0,0
2021-07-16 16:42:59.361875+00:00,273,1,0.0,0
2021-07-16 16:42:59.431295+00:00,273,1,0.0,0
2021-07-16 16:42:59.501741+00:00,273,1,0.0,0
2021-07-16 16:42:59.576718+00:00,273,1,0.0,0
2021-07-16 16:42:59.644683+00:00,273,1,0.0,0
2021-07-16 16:42:59.707025+00:00,273,1,0.0,0
2021-07-16 16:42:59.782448+00:00,273,1,0.0,0
2021-07-16 16:42:59.851673+00:00,273,1,0.0,0
2021-07-16 16:42:59.922733+00:00,273,1,0.0,0
2021-07-16 16:43:00.001269+00:00,273,1,0.0,0
2021-07-16 16:43:00.079061+00:00,273,1,0.0,0
2021-07-16 16:43:00.147961+00:00,273,1,0.0,0
2021-07-16 16:43:00.224675+00:00,273,1,0.0,0
2021-07-16 16:43:00.299923+00:00,273,1,0.0,0
2021-07-16 16:43:00.377030+00:00,273,1,0.0,0
2021-07-16 16:43:00.447161+00:00,273,1,0.0,0
2021-07-16 16:43:00.512087+00:00,273,1,0.0,0
2021-07-16 16:43:00.596325+00:00,273,1,0.0,0
2021-07-16 16:43:00.663618+00:00,273,1,0.0,0
2021-07-16 16:43:00.731851+00:00,273,1,0.0,0
2021-07-16 16:43:00.795042+00:00,273,1,0.0,0
2021-07-16 16:43:00.871057+00:00,273,1,0.0,0
2021-07-16 16:43:00.942681+00:00,273,1,0.0,0
2021-07-16 16:43:01.009607+00:00,273,1,0.0,0
2021-07-16 16:43:01.074305+00:00,269,5,0.0,0
2021-07-16 16:43:01.145848+00:00,273,1,0.0,0
2021-07-16 16:43:01.222449+00:00,273,1,0.0,0
2021-07-16 16:43:01.300848+00:00,273,1,0.0,0
2021-07-16 16:43:01.373422+00:00,273,1,0.0,0
2021-07-16 16:43:01.442757+00:00,272,2,0.0,0
2021-07-16 16:43:01.492946+00:00,273,1,0.0,0
2021-07-16 16:43:01.567344+00:00,273,1,0.0,0
2021-07-16 16:43:01.624366+00:00,273,1,0.0,0
2021-07-16 16:43:01.701256+00:00,273,1,0.0,0
2021-07-16 16:43:01.767926+00:00,273,1,0.0,0
2021-07-16 16:43:01.833047+00:00,273,1,0.0,0
2021-07-16 16:43:01.899958+00:00,273,1,0.0,0
2021-07-16 16:43:01.976898+00:00,273,1,0.0,0
2021-07-16 16:43:02.055097+00:00,273,1,0.0,0
2021-07-16 16:43:02.126934+00:00,273,1,0.0,0
