EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),EVENT,PROPERTIES,node_type
2019-10-08 20:33:18,136067598.0,ce10446d06bbaf2adb43212beb98e8bc,DISABLE,"{'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956949504', 'architecture.smt_size': '48', 'placement.rack': 8, 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",compute_haswell
2019-10-21 21:01:57,137192517.0,ce10446d06bbaf2adb43212beb98e8bc,ENABLE,"{'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956949504', 'architecture.smt_size': '48', 'placement.rack': 8, 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",compute_haswell
2019-10-29 16:10:32,137866232.0,f24c33849e73a2cdb6e3e76480a36253,DISABLE,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64'}",compute_haswell
2019-10-29 16:10:43,137866243.0,3cc2e3b27e7eaf7f4772403355bc1750,DISABLE,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016'}",compute_haswell
2019-11-06 17:46:20,138563180.0,38f89d8426232fb9b11f73b96e401286,DISABLE,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",compute_haswell
2019-11-06 18:19:21,138565161.0,3cc2e3b27e7eaf7f4772403355bc1750,ENABLE,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016'}",compute_haswell
2019-11-12 22:04:19,139097059.0,3a04b9faca1ed3df8617d6c92ee93d4b,DISABLE,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'placement.rack': 6, 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '137438953472'}",compute_haswell
2019-11-12 22:04:20,139097060.0,982dd1e8a42660ce7380965ead51ce59,DISABLE,"{'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'placement.rack': 6, 'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",compute_haswell
2019-11-12 22:04:22,139097062.0,7e5ca6262c2e2da6c92cb1422c23ae79,DISABLE,"{'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'main_memory.ram_size': '137438953472', 'storage_devices.0.size': '250059350016', 'placement.rack': 6, 'node_type': 'compute_haswell'}",compute_haswell
2019-11-13 21:43:46,139182226.0,f24c33849e73a2cdb6e3e76480a36253,ENABLE,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64'}",compute_haswell
2019-11-13 21:51:48,139182708.0,38f89d8426232fb9b11f73b96e401286,ENABLE,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",compute_haswell
2019-11-14 14:50:41,139243841.0,2719b5e91a1a1067505666ccf17f5bcc,DISABLE,"{'placement.rack': 6, 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'node_type': 'compute_haswell'}",compute_haswell
2019-11-15 23:04:23,139359863.0,f41160711ccee9c6c9ca3834938fd330,DISABLE,"{'node_type': 'compute_haswell', 'main_memory.ram_size': '137438953472', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'placement.rack': 6}",compute_haswell
2019-11-19 15:13:21,139677201.0,985194fd09d8638f560ec94185a265f5,DISABLE,"{'architecture.smp_size': '2', 'main_memory.ram_size': '137438953472', 'placement.rack': 6, 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016'}",compute_haswell
2019-11-19 15:13:30,139677210.0,5c976b91816ae1739d4a05dad3780af9,DISABLE,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '137438953472', 'placement.rack': 6}",compute_haswell
2019-11-19 15:14:07,139677247.0,e1e54f7c4fe87d188c9ad2b218d9df59,DISABLE,"{'main_memory.ram_size': '134956863488', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'node_type': 'compute_haswell', 'placement.rack': 6, 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",compute_haswell
2019-11-25 15:38:20,140197100.0,2982f1320396ead3e6ae63ec634c9d40,DISABLE,"{'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'main_memory.ram_size': '137438953472', 'placement.rack': 8, 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016'}",compute_haswell
2019-11-25 20:47:30,140215650.0,7c3b05f386e20dd3e7c748c0756c937b,DISABLE,"{'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'placement.rack': 8, 'node_type': 'compute_haswell', 'main_memory.ram_size': '137438953472', 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",compute_haswell
