EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),EVENT,PROPERTIES
2015-06-29T20:53:31,1112011.0,036de27648d861be44096ed23a9b6dae,CREATE,"{'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'placement.rack': 8, 'architecture.smt_size': '48', 'main_memory.ram_size': '134956949504', 'storage_devices.0.size': '250059350016'}"
2019-02-20T15:08:52,116176132.0,036de27648d861be44096ed23a9b6dae,UPDATE,"{'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'node_type': 'compute_haswell', 'placement.rack': 8, 'architecture.smt_size': '24', 'main_memory.ram_size': '137438953472', 'storage_devices.0.size': '250059350016'}"
2015-11-09T19:44:17,12599057.0,c3a670bcfe50fc3befeb95a23fb90856,CREATE,{'placement.rack': 4}
2018-03-14T15:39:53,86542793.0,c3a670bcfe50fc3befeb95a23fb90856,UPDATE,"{'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '137438953472', 'placement.rack': 4, 'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}"
2019-11-25T20:13:49,140213629.0,717579b8756ca7e13b274cbb6ee0fa41,CREATE,"{'node_type': 'compute_cascadelake', 'placement.rack': None}"
2019-11-27T23:02:05,140396525.0,717579b8756ca7e13b274cbb6ee0fa41,UPDATE,"{'architecture.smp_size': '2', 'architecture.smt_size': '64', 'storage_devices.0.size': '240057409536', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_cascadelake', 'placement.rack': 6, 'main_memory.ram_size': '200789721088'}"
2015-06-26T20:52:33,852753.0,979ff820dd6160a65bc803530a0b49c8,CREATE,"{'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'placement.rack': 7, 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48'}"
2018-11-05T15:39:58,106933198.0,979ff820dd6160a65bc803530a0b49c8,UPDATE,"{'main_memory.ram_size': '137438953472', 'architecture.smp_size': '2', 'placement.rack': 7, 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48'}"
2015-06-29T18:38:40,1103920.0,0129136d574884ce3b431bfbd42d83e8,CREATE,"{'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'placement.rack': 4, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}"
2018-03-14T15:39:53,86542793.0,0129136d574884ce3b431bfbd42d83e8,UPDATE,"{'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '137438953472', 'architecture.platform_type': 'x86_64', 'placement.rack': 4, 'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2'}"
2015-06-26T20:52:39,852759.0,6ffe3f1127df3b579756013c8ef85b48,CREATE,"{'placement.rack': 8, 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'main_memory.ram_size': '134956949504'}"
2018-03-14T15:39:53,86542793.0,6ffe3f1127df3b579756013c8ef85b48,UPDATE,"{'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 8, 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'main_memory.ram_size': '137438953472', 'node_type': 'compute_haswell'}"
2015-06-29T20:50:31,1111831.0,f1bf0c343256dfaafdfd680de49754f1,CREATE,"{'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'placement.rack': 8, 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'main_memory.ram_size': '134956949504'}"
2018-03-14T15:39:54,86542794.0,f1bf0c343256dfaafdfd680de49754f1,UPDATE,"{'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'node_type': 'compute_haswell', 'main_memory.ram_size': '137438953472', 'placement.rack': 8}"
2015-06-29T20:49:03,1111743.0,a60569b48150d1dba8dd2ef8a6b8c0cb,CREATE,"{'main_memory.ram_size': '134956949504', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 8, 'architecture.platform_type': 'x86_64'}"
2018-03-14T15:39:54,86542794.0,a60569b48150d1dba8dd2ef8a6b8c0cb,UPDATE,"{'placement.rack': 8, 'main_memory.ram_size': '137438953472', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64'}"
2015-06-26T20:52:45,852765.0,ca05c0ad241df1383e31db39f08b23a9,CREATE,"{'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'placement.rack': 5, 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}"
